Energy|energy|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Environment|environment||||
Ethics in Journalism|ethics_in_journalism||||
Eurasia|eurasia||||
Europe|europe||||
European Union|european_union||||
Family|family||||
Farming|farming||||
Finance|finance||||
Food|food||||
Football|football||||
Foreign Policy|foreign_policy||||
France|france||||
Freedom of Speech|freedom_of_speech||||
Fusion Energy|fusion_energy|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Future|future||||
Games|games||||
Gay and Lesbian|gay_lesbian|<p>Help find the best (and worst) news coverage on this topic, and review (or post) stories below.</p>|||
Gender|gender||||
Genocide|genocide||||
Georgia|georgia||||
Geothermal Energy|geothermal|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Germany|germany||||
Global Economy|global_economy|<p>In April 2010, we hosted a <em>Global Economy News Hunt</em> to find good (and bad) journalism on the economic conditions of people around the world.</p>\n<p><a href="http://blog.newstrust.net/2010/04/global-economy-results.html">Read our findings on the NewsTrust blog</a>.</p>|||
Golf|golf||||
Government Transparency|government_transparency||||
Greece|greece||||
Green Technology|green_tech||||
Haiti|haiti||||
Health Care|health_care||||
High School|high_school||||
Hillary Clinton|hillary_clinton||||
Hispanic|hispanic||||
History|history||||
HIV/AIDS|hiv_aids||||
Hollywood|hollywood||||
Housing|housing||||
Human Rights|human_rights||||
Hunger|hunger||||
Iceland|iceland||||
Immigration|immigration|<p>Immigration is a hot-button issue in the U.S. right now. Between the Arizona law, violence in Mexico, and cash-strapped law enforcement agencies, there are new, urgent stories every day.</p>\n<p>Help find some of the best (and worst) coverage of this topic. Please <a href="http://newstrust.net/guides/how-to-review">review</a> or <a href="http://newstrust.net/post">post</a> stories below.</p>\n<p><strong><span class="caps">SEE</span> <span class="caps">ALSO</span>:</strong> Check out the student-powered <a href="http://newstrust.net/groups/bordernews"><em>Border News</em> group page</a>. Read more <a href="http://blog.newstrust.net/2010/10/border-news.html">on our blog</a>.</p>|||
Independent|independent||||
India|india||||
Indonesia|indonesia||||
Industry|industry||||
Infectious Diseases|infectious_diseases||||
Innovation|innovation||||
Insurance|insurance||||
Internet|internet||||
Iran|iran||||
Islam|islam||||
Israel|israel||||
Japan|japan||||
Jobs|jobs||||
Joe Biden|joe_biden||||
John McCain|john_mccain||||
Journalism|journalism||||
Judaism|judaism||||
Kenya|kenya||||
Labor|labor||||
Latin America|latin_america||||
Law|law||||
Lebanon|lebanon||||
Liberal|liberal||||
Libertarian|libertarian||||
Libya|libya||||
Mainstream Media|mainstream_media||||
Marriage|marriage||||
Maryland|maryland||||
Media|media||||
Media and Politics|media_politics|<p>Please review some of the stories featured below.</p>|||
Media Ownership|media_ownership||||
Medicare|medicare||||
Men|men||||
Mexico|mexico||||
Michele Bachmann|michele_bachmann||||
Middle East|middle_east||||
Middle School|middle_school||||
Mike Huckabee|mike_huckabee||||
Mining|mining||||
Mitt Romney|mitt_romney||||
Mobile|mobile||||
Money|money||||
Money and Politics|money_politics||||
Movies|movies||||
Music|music||||
NATO|nato||||
Natural Disasters|natural_disasters||||
Neighborhood|neighborhood||||
New Media|new_media||||
New York City|nyc|<p>From March 29th to April 4th, 2010, NewsTrust teamed up with with the <a href="http://www.huffingtonpost.com/new-york/">Huffington Post&#8217;s <span class="caps">NYC</span></a> portal and its <a href="http://www.huffingtonpost.com/eyes-and-ears/">Eyes and Ears</a> team, as well as <a href="http://citylimits.org">City Limits</a>, to review news and opinions on local economic issues ranging from unemployment to government cutbacks in New York City.</p>\n<p><a href="http://blog.newstrust.net/2010/04/nyc-results.html">Read our <em>News Hunt</em> Results</a> on the NewsTrust Blog.</p>|||
News Literacy|news_literacy||||
Nigeria|nigeria||||
North America|north_america||||
North Korea|north_korea||||
Nuclear Power|nuclear_power|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, 2010, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Nuclear Weapons|nuclear_weapons||||
Obama Administration|barack_obama||||
Oceania|oceania||||
Oil and Gas|oil_and_gas|<p>In June 2010, during the peak of the BP oil crisis, we hosted an <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>, to find good journalism about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. In the process, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a>. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read our findings on our blog</a>.</p>|||
Olympics|olympics||||
Other Parties|other_parties||||
Pakistan|pakistan||||
Palestine|palestine||||
Peace|peace||||
Pharmaceuticals|pharmaceuticals||||
Philanthropy|philanthropy||||
Poland|poland||||
Police|police||||
Pollution|pollution||||
Poverty|poverty||||
Presidential Election 2012|presidential_election12||||
Primary School|primary_school||||
Privacy|privacy||||
Psychology|psychology||||
Racism|racism||||
Real Estate|real_estate||||
Refugees|refugees||||
Religion and Politics|religion_and_politics|<p><strong>Religion and Politics</strong> focuses on the influences and relationships between political officials and governments with religion and faith communities.</p>\n<p>This topic page will consider current events that bear implications on religion and politics, including how religious conversation and exercise affects politics, and how political dialogue and action impacts communities of faith.</p>\n<p><strong><em>Resources on Religion and Politics:</em></strong></p>\n<ul>\n\t<li><a href="http://realclearreligion.org/">Real Clear Religion</a></li>\n\t<li><a href="http://pewforum.org/">The Pew Forum on Religion and Public Life</a></li>\n\t<li><a href="http://www.cfr.org/about/outreach/religioninitiative/index.html">Council on Foreign Relations: Religion and Foreign Policy</a></li>\n\t<li><a href="http://www.politicsandreligionjournal.com/">Politics and Religion Journal</a></li>\n\t<li><a href="http://amzn.to/drKGpM">Religion and Politics in the United States</a></li>\n\t<li><a href="http://amzn.to/9Vf7Wf">An Introduction to International Relations and Religion</a></li>\n\t<li><a href="http://amzn.to/9hLwxi">Religion and Politics in the International System Today</a></li>\n\t<li><a href="http://amzn.to/bRgFFB">Sacred Causes: The Clash of Religion and Politics, from the Great War to the War on Terror</a></li>\n</ul>|||
Republicans|republicans||||
Retail|retail||||
Rick Perry|rick_perry||||
Ron Paul|ron_paul||||
Running|running||||
Russia|russia||||
Sarah Palin|sarah_palin||||
Saudi Arabia|saudi_arabia||||
Science|science||||
Science and Religion|science_and_religion||||
Seniors|seniors||||
Soccer|soccer||||
Social Change|social_change|<p>Around the world, activists and social entrepreneurs are changing the lives of millions with innovative solutions to issues like poverty, disease and persecution. We&#8217;re looking for good journalism that highlights their accomplishments  &#8212; and suggests simple steps that each of us can take to help change the world. Please review our recommended news and opinion on this topic below.</p>|||
Social Networks|social_networks||||
Socialist|socialist||||
Solar Energy|solar_energy|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Somalia|somalia||||
South Africa|south_africa||||
South Korea|south_korea||||
Startups|startups||||
State|state||||
Sudan|sudan||||
Sustainability|sustainability||||
Switzerland|switzerland||||
Syria|syria||||
Taliban|taliban||||
Taxes|taxes||||
Tea Party|teaparty||||
Technology|technology||||
Telecommunications|telecommunications||||
Tennis|tennis||||
Terrorism|terrorism||||
Thailand|thailand||||
Torture|torture||||
Trade|trade||||
Transgender|transgender||||
Transportation|transportation||||
Turkey|turkey||||
TV|tv||||
U.S. Congress|us_congress||||
U.S. Constitution|us_constitution||||
U.S. Economy|us_economy||||
United Kingdom|uk||||
United Nations|united_nations||||
Venezuela|venezuela||||
Violence|violence||||
Virginia|virginia||||
War|war||||
Water|water||||
Wealth|wealth||||
Wellness|wellness||||
Wind Power|wind_power|<p><a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Check the results</a> of our <em>Energy News Hunt</em> with <a href="http://www.longnow.org/">The Long Now Foundation</a>. From June 7 to 20, we reviewed <a href="http://newstrust.net/topics/energy/recent_reviews?review_start_date=2010.06.07&amp;review_end_date=2010.06.21&amp;utm_campaign=long_energy&amp;utm_medium=topic_page">over 250 news stories</a> about <strong>the future of energy</strong> &#8212; with a focus on low carbon solutions that can scale quickly power the whole planet. <a href="http://blog.newstrust.net/2010/06/energy-results.html?utm_campaign=energhy&amp;utm_medium=topic_page">Read more on our blog</a>.</p>|||
Wisconsin|wisconsin||||
Women|women_issues||||
Yemen|yemen||||
Youth|youth||||
Zimbabwe|zimbabwe||||
